Membership No  Date Joined  Active  
    81366      2015-3-21    no    
    96288      2015-6-4     no    
    37500      2016-9-10    yes   
    30380      2020-1-10    no    
    62998      2016-10-10   no    
    88277      2016-11-2    no    
    41936      2015-8-23    no    
    43627      2018-11-15   yes   
    92262      2020-11-1    yes   
    50620      2015-3-6     yes   
    15248      2019-5-8     no    
    30247      2016-9-17    no    
    52021      2020-10-21   yes   
    87235      2020-1-8     yes   
    26624      2015-2-12    no    
    67755      2017-8-4     no    
    22129      2016-3-11    yes   
    86593      2015-7-8     no    
    51070      2018-6-14    yes   
    67852      2015-6-19    no    
