Membership No  Date Joined  Active  
    48957      2018-3-14    no    
    66699      2017-11-16   no    
    15750      2020-3-14    no    
    46685      2020-4-6     yes   
    66462      2020-7-17    yes   
    76166      2016-11-7    no    
    52929      2017-5-10    yes   
    19793      2018-12-24   yes   
    82784      2016-9-16    no    
    48005      2018-8-4     no    
    66956      2017-6-18    no    
    35807      2019-4-20    no    
    24805      2016-9-25    yes   
    53553      2017-10-4    yes   
    23844      2015-12-18   no    
    37664      2019-1-1     no    
    87922      2016-4-10    no    
    20909      2018-10-21   no    
    54452      2017-7-12    no    
    36957      2017-4-19    no    
